texto,sentimiento
Me siento motivado por los retos que se presentan diariamente.,positivo
La burocracia interna retrasa mucho los procesos.,negativo
"Los compañeros son correctos, ni muy cercanos ni distantes.",neutro
"La empresa ofrece beneficios estándar, nada especial.",neutro
Mi horario es flexible y eso me ayuda a organizarme.,positivo
Me siento motivado por los retos que se presentan diariamente.,positivo
Las políticas de la empresa son confusas y cambiantes.,negativo
Las políticas de la empresa son confusas y cambiantes.,negativo
El salario es adecuado y suficiente para mis necesidades.,neutro
El reconocimiento por mi trabajo es frecuente y satisfactorio.,positivo
"El ambiente es tranquilo, sin muchos conflictos.",neutro
Los horarios de trabajo son poco flexibles y difíciles de manejar.,negativo
Mis compañeros son muy colaborativos y me apoyan siempre.,positivo
El equipo de trabajo es adecuado y funcional.,neutro
A veces siento que no hay oportunidades claras de crecimiento.,negativo
La comunicación entre departamentos es limitada y complicada.,negativo
"El ambiente es tranquilo, sin muchos conflictos.",neutro
Los horarios de trabajo son poco flexibles y difíciles de manejar.,negativo
La comunicación entre departamentos es limitada y complicada.,negativo
"Los compañeros son correctos, ni muy cercanos ni distantes.",neutro
"Los compañeros son correctos, ni muy cercanos ni distantes.",neutro
El liderazgo de algunos jefes es poco motivador.,negativo
La cultura laboral es equilibrada y justa.,neutro
La comunicación interna es deficiente y genera confusión.,negativo
"La empresa ofrece beneficios estándar, nada especial.",neutro
Algunas herramientas que usamos están desactualizadas y dificultan el trabajo.,negativo
"La empresa cumple con lo básico, pero no hay nada destacable.",neutro
El equipo de trabajo es adecuado y funcional.,neutro
El equipo de trabajo es adecuado y funcional.,neutro
Los horarios de trabajo son poco flexibles y difíciles de manejar.,negativo
"Los compañeros son correctos, ni muy cercanos ni distantes.",neutro
El lugar de trabajo es cómodo y bien ubicado.,positivo
Me siento motivado por los retos que se presentan diariamente.,positivo
La cultura laboral es equilibrada y justa.,neutro
El liderazgo de algunos jefes es poco motivador.,negativo
El equipo de trabajo es adecuado y funcional.,neutro
No tengo suficiente retroalimentación sobre mi desempeño.,negativo
La comunicación entre departamentos es limitada y complicada.,negativo
"Disfruto de los proyectos que realizamos, son interesantes.",positivo
El equipo de trabajo es adecuado y funcional.,neutro
La cultura laboral es equilibrada y justa.,neutro
La comunicación entre departamentos es limitada y complicada.,negativo
Me siento motivado por los retos que se presentan diariamente.,positivo
El lugar de trabajo es cómodo y bien ubicado.,positivo
Algunas herramientas que usamos están desactualizadas y dificultan el trabajo.,negativo
"Los compañeros son correctos, ni muy cercanos ni distantes.",neutro
"Disfruto de los proyectos que realizamos, son interesantes.",positivo
"Los procesos internos son normales, ni rápidos ni lentos.",neutro
Mis compañeros son muy colaborativos y me apoyan siempre.,positivo
El reconocimiento por mi trabajo es frecuente y satisfactorio.,positivo
El liderazgo de mi jefe es inspirador y motivador.,positivo
"El ambiente es tranquilo, sin muchos conflictos.",neutro
Me siento motivado por los retos que se presentan diariamente.,positivo
Las políticas de la empresa son confusas y cambiantes.,negativo
"La empresa ofrece beneficios estándar, nada especial.",neutro
Me siento motivado por los retos que se presentan diariamente.,positivo
"Me siento muy cómodo trabajando aquí, el ambiente es excelente.",positivo
La carga de trabajo es demasiado alta y estresante.,negativo
Mis compañeros son muy colaborativos y me apoyan siempre.,positivo
Mi horario es flexible y eso me ayuda a organizarme.,positivo
"El ambiente es tranquilo, sin muchos conflictos.",neutro
El lugar de trabajo es cómodo y bien ubicado.,positivo
"La empresa ofrece beneficios estándar, nada especial.",neutro
Me siento motivado por los retos que se presentan diariamente.,positivo
"Las instalaciones son correctas, nada fuera de lo común.",neutro
"Las instalaciones son correctas, nada fuera de lo común.",neutro
No tengo suficiente retroalimentación sobre mi desempeño.,negativo
Los horarios de trabajo son poco flexibles y difíciles de manejar.,negativo
El reconocimiento por mi trabajo es frecuente y satisfactorio.,positivo
El equipo de trabajo es adecuado y funcional.,neutro
El reconocimiento por mi trabajo es frecuente y satisfactorio.,positivo
"Disfruto de los proyectos que realizamos, son interesantes.",positivo
La comunicación interna es deficiente y genera confusión.,negativo
La empresa ofrece buenas oportunidades de crecimiento.,positivo
Me siento motivado por los retos que se presentan diariamente.,positivo
El liderazgo de mi jefe es inspirador y motivador.,positivo
La burocracia interna retrasa mucho los procesos.,negativo
La carga de trabajo es demasiado alta y estresante.,negativo
El liderazgo de mi jefe es inspirador y motivador.,positivo
"Los procesos internos son normales, ni rápidos ni lentos.",neutro
Las políticas de la empresa son confusas y cambiantes.,negativo
La comunicación interna es deficiente y genera confusión.,negativo
El liderazgo de algunos jefes es poco motivador.,negativo
El ambiente laboral es positivo y motivador.,positivo
Algunas herramientas que usamos están desactualizadas y dificultan el trabajo.,negativo
Mis compañeros son muy colaborativos y me apoyan siempre.,positivo
La comunicación interna es deficiente y genera confusión.,negativo
"La empresa ofrece beneficios estándar, nada especial.",neutro
A veces siento que no hay oportunidades claras de crecimiento.,negativo
"Los procesos internos son normales, ni rápidos ni lentos.",neutro
La cultura laboral es equilibrada y justa.,neutro
El equipo de trabajo es adecuado y funcional.,neutro
El liderazgo de algunos jefes es poco motivador.,negativo
"Disfruto de los proyectos que realizamos, son interesantes.",positivo
La burocracia interna retrasa mucho los procesos.,negativo
La comunicación interna es deficiente y genera confusión.,negativo
El liderazgo de mi jefe es inspirador y motivador.,positivo
La comunicación entre departamentos es limitada y complicada.,negativo
La burocracia interna retrasa mucho los procesos.,negativo
Mi horario es flexible y eso me ayuda a organizarme.,positivo
Me siento motivado por los retos que se presentan diariamente.,positivo
Las políticas de la empresa son confusas y cambiantes.,negativo
La comunicación entre departamentos es limitada y complicada.,negativo
El liderazgo de algunos jefes es poco motivador.,negativo
Las políticas de la empresa son confusas y cambiantes.,negativo
"Los compañeros son correctos, ni muy cercanos ni distantes.",neutro
La carga de trabajo es demasiado alta y estresante.,negativo
Mis compañeros son muy colaborativos y me apoyan siempre.,positivo
El salario es adecuado y suficiente para mis necesidades.,neutro
Mi horario es flexible y eso me ayuda a organizarme.,positivo
El equipo de trabajo es adecuado y funcional.,neutro
No tengo suficiente retroalimentación sobre mi desempeño.,negativo
La comunicación entre departamentos es limitada y complicada.,negativo
